OrigName,Date.x,year,Site.Type.x,Long.x,Lat.x,OpenWater,DevelopedOpenSpace,Barren,GrasslandPasture,forest,developed,nonforestnatural,Crops,gdd,nest,pest,flsp,flsum,HBD,april,may,june,BQCV,DWV,Nosema,Crithidia,sumprecip,elevation,minutes.x,Bimaculatus.per.min.x,fervidus..per.min.x,flavidus.per.min.x,Griseocollis.per.min.x,Impatience.per.min.x,perplexus.per.min.x,sandersoni.per.min.x,tericola..per.min.x,ternarius.per.min.x,vagans.per.min.x,toto.bees.per.min.x,Bombus20_shannon_diversity.y,Bimaculatus,Fervidous,Flavidus,Griseocollis,Impatiens,Perplexus,Sandersonii,Tericola,Ternarius,Vagans,Grand.Total,bimaculatus.y,fervidus,flavidus,Griseocollis.1.y,Impatience,perplexus,sandersoni,tericola,ternarius,vagans
Centre Hall Fair Grounds,7/7/2020,2020,valley,40.83118,-77.68069,0,9,0,7,6,26,0,50,20.30900002,0.269435304,37519.9675,0.335025611,0.430849544,0,0,0,0,5.108063333,0,0,0,0,398.53613,40,0.05,0,0,0.025,0.525,0,0,0,0,0,0.6,0.184907399,2,0,0,1,21,0,0,0,0,0,24,0.083333333,0,0,0.041666667,0.875,0,0,0,0,0
Centre Hall Fair Grounds,7/7/2020,2020,valley,40.83118,-77.68069,0,9,0,7,6,26,0,50,20.30900002,0.269435304,37519.9675,0.335025611,0.430849544,0,0,0,0,6.226014667,2.439232333,1.814661167,0,0,398.53613,40,0.05,0,0,0.025,0.525,0,0,0,0,0,0.6,0.184907399,2,0,0,1,21,0,0,0,0,0,24,0.083333333,0,0,0.041666667,0.875,0,0,0,0,0
Centre Hall Fair Grounds,7/7/2020,2020,valley,40.83118,-77.68069,0,9,0,7,6,26,0,50,20.30900002,0.269435304,37519.9675,0.335025611,0.430849544,0,0,0,0,5.063314667,1.163403,0.896898167,0,0,398.53613,40,0.05,0,0,0.025,0.525,0,0,0,0,0,0.6,0.184907399,2,0,0,1,21,0,0,0,0,0,24,0.083333333,0,0,0.041666667,0.875,0,0,0,0,0
Church ln cemetary,7/6/2020,2020,valley,40.67798,-77.5844,0,5,0,23,12,0,0,60,20.97999954,0.407490541,24021.23829,0.457251302,0.473531295,0,0,0,0,3.037826,1.028084333,0.11975,11.038826,0,227.27866,130,0.015384615,0.007692308,0,0.015384615,0.153846154,0,0,0,0,0,0.192307692,0.470235962,2,1,0,2,20,0,0,0,0,0,25,0.08,0.04,0,0.08,0.8,0,0,0,0,0
Church ln cemetary,7/6/2020,2020,valley,40.67798,-77.5844,0,5,0,23,12,0,0,60,20.97999954,0.407490541,24021.23829,0.457251302,0.473531295,0,0,0,0,5.219211,0.964912333,0.09831925,14.64320467,0,227.27866,130,0.015384615,0.007692308,0,0.015384615,0.153846154,0,0,0,0,0,0.192307692,0.470235962,2,1,0,2,20,0,0,0,0,0,25,0.08,0.04,0,0.08,0.8,0,0,0,0,0
Church ln cemetary,7/6/2020,2020,valley,40.67798,-77.5844,0,5,0,23,12,0,0,60,20.97999954,0.407490541,24021.23829,0.457251302,0.473531295,0,0,0,0,6.782912667,0.875611667,1.37372055,0,0,227.27866,130,0.015384615,0.007692308,0,0.015384615,0.153846154,0,0,0,0,0,0.192307692,0.470235962,2,1,0,2,20,0,0,0,0,0,25,0.08,0.04,0,0.08,0.8,0,0,0,0,0
Coyler Lake,6/22/2020,2020,edge,40.778147,-77.683718,20,2,0,7,61,0,1,8,20.34300041,0.5070826,8176.249536,0.520350802,0.486149724,0.063661978,0,0,0,8.920497667,4.085419667,0,0,0,381.3429,61,0.098360656,0,0,0.016393443,0.163934426,0.147540984,0.032786885,0,0,0,0.459016393,1.082534886,6,0,0,1,10,9,2,0,0,0,28,0.214285714,0,0,0.035714286,0.357142857,0.321428571,0.071428571,0,0,0
Coyler Lake,6/22/2020,2020,edge,40.778147,-77.683718,20,2,0,7,61,0,1,8,20.34300041,0.5070826,8176.249536,0.520350802,0.486149724,0.063661978,0,0,0,8.670026667,0,2.234574167,13.49687633,0,381.3429,61,0.098360656,0,0,0.016393443,0.163934426,0.147540984,0.032786885,0,0,0,0.459016393,1.082534886,6,0,0,1,10,9,2,0,0,0,28,0.214285714,0,0,0.035714286,0.357142857,0.321428571,0.071428571,0,0,0
Coyler Lake,6/22/2020,2020,edge,40.778147,-77.683718,20,2,0,7,61,0,1,8,20.34300041,0.5070826,8176.249536,0.520350802,0.486149724,0.063661978,0,0,0,7.208924667,0,0,9.811293,0,381.3429,61,0.098360656,0,0,0.016393443,0.163934426,0.147540984,0.032786885,0,0,0,0.459016393,1.082534886,6,0,0,1,10,9,2,0,0,0,28,0.214285714,0,0,0.035714286,0.357142857,0.321428571,0.071428571,0,0,0
Harry Haney memorial park,6/23/2020,2020,valley,40.92544,-77.05263,0,24,0,10,29,24,1,10,21.6420002,0.284265526,38456.30445,0.365507958,0.449511023,0.337635684,83.68046371,106.0111737,79.50104109,6.869601667,0,1.872052167,13.75771433,269.1926785,165.84245,143,0.055944056,0,0,0.013986014,0.097902098,0,0,0,0,0,0.167832168,0.376770161,8,0,0,2,14,0,0,0,0,0,24,0.333333333,0,0,0.083333333,0.583333333,0,0,0,0,0
Harry Haney memorial park,6/23/2020,2020,valley,40.92544,-77.05263,0,24,0,10,29,24,1,10,21.6420002,0.284265526,38456.30445,0.365507958,0.449511023,0.337635684,83.68046371,106.0111737,79.50104109,7.785312333,5.065148333,1.036395,4.869116,269.1926785,165.84245,143,0.055944056,0,0,0.013986014,0.097902098,0,0,0,0,0,0.167832168,0.376770161,8,0,0,2,14,0,0,0,0,0,24,0.333333333,0,0,0.083333333,0.583333333,0,0,0,0,0
Harry Haney memorial park,6/23/2020,2020,valley,40.92544,-77.05263,0,24,0,10,29,24,1,10,21.6420002,0.284265526,38456.30445,0.365507958,0.449511023,0.337635684,83.68046371,106.0111737,79.50104109,8.478631333,2.469720333,3.282798333,3.522867,269.1926785,165.84245,143,0.055944056,0,0,0.013986014,0.097902098,0,0,0,0,0,0.167832168,0.376770161,8,0,0,2,14,0,0,0,0,0,24,0.333333333,0,0,0.083333333,0.583333333,0,0,0,0,0
Huntingdon walmart,7/5/2020,2020,edge,40.49122,-78.04652,0,11,0,6,31,27,0,23,20.41600037,0.539530779,3322.240844,0.582930128,0.514342603,0,99.2074544,69.5622344,71.48886393,3.915352,0,1.2512995,12.67138933,240.2585527,233.78879,25,0.32,0,0,0.24,0.36,0.04,0.04,0,0,0,1,1.037591108,8,0,0,6,9,1,1,0,0,0,25,0.32,0,0,0.24,0.36,0.04,0.04,0,0,0
Huntingdon walmart,7/5/2020,2020,edge,40.49122,-78.04652,0,11,0,6,31,27,0,23,20.41600037,0.539530779,3322.240844,0.582930128,0.514342603,0,99.2074544,69.5622344,71.48886393,2.445496,0,0.5904325,12.839643,240.2585527,233.78879,25,0.32,0,0,0.24,0.36,0.04,0.04,0,0,0,1,1.037591108,8,0,0,6,9,1,1,0,0,0,25,0.32,0,0,0.24,0.36,0.04,0.04,0,0,0
Huntingdon walmart,7/5/2020,2020,edge,40.49122,-78.04652,0,11,0,6,31,27,0,23,20.41600037,0.539530779,3322.240844,0.582930128,0.514342603,0,99.2074544,69.5622344,71.48886393,3.495354,3.668717333,1.123308333,8.193581667,240.2585527,233.78879,25,0.32,0,0,0.24,0.36,0.04,0.04,0,0,0,1,1.037591108,8,0,0,6,9,1,1,0,0,0,25,0.32,0,0,0.24,0.36,0.04,0.04,0,0,0
Juanita School,7/5/2020,2020,edge,40.56279,-78.07467,3,10,1,7,16,7,0,54,20.89900017,0.434833051,27218.0421,0.453072026,0.449218418,0.681067187,114.5674138,68.45289988,91.5765488,1.181354333,0.148670667,1.0024585,14.14943933,274.5968625,232.16248,26,0.153846154,0,0,0,0.807692308,0,0,0,0,0,0.961538462,0,4,0,0,0,21,0,0,0,0,0,25,0.16,0,0,0,0.84,0,0,0,0,0
Juanita School,7/5/2020,2020,edge,40.56279,-78.07467,3,10,1,7,16,7,0,54,20.89900017,0.434833051,27218.0421,0.453072026,0.449218418,0.681067187,114.5674138,68.45289988,91.5765488,1.598675667,0.392458333,0,13.22219433,274.5968625,232.16248,26,0.153846154,0,0,0,0.807692308,0,0,0,0,0,0.961538462,0,4,0,0,0,21,0,0,0,0,0,25,0.16,0,0,0,0.84,0,0,0,0,0
Juanita School,7/5/2020,2020,edge,40.56279,-78.07467,3,10,1,7,16,7,0,54,20.89900017,0.434833051,27218.0421,0.453072026,0.449218418,0.681067187,114.5674138,68.45289988,91.5765488,4.679063667,5.617412667,1.727033667,13.08187067,274.5968625,232.16248,26,0.153846154,0,0,0,0.807692308,0,0,0,0,0,0.961538462,0,4,0,0,0,21,0,0,0,0,0,25,0.16,0,0,0,0.84,0,0,0,0,0
Lamar fish hatchery,7/4/2020,2020,edge,41.00405,-77.53464,1,14,1,10,40,4,0,29,21.48399925,0.480891916,16669.95471,0.491348884,0.467306085,0.280112714,0,0,0,8.039774667,1.502290333,1.195011667,0,0,253.93622,61,0.163934426,0,0,0.016393443,0.180327869,0,0,0.032786885,0,0,0.393442623,0.655975732,10,0,0,1,11,0,0,2,0,0,24,0.416666667,0,0,0.041666667,0.458333333,0,0,0.083333333,0,0
Lamar fish hatchery,7/4/2020,2020,edge,41.00405,-77.53464,1,14,1,10,40,4,0,29,21.48399925,0.480891916,16669.95471,0.491348884,0.467306085,0.280112714,0,0,0,6.146976,2.016058667,0,4.231975,0,253.93622,61,0.163934426,0,0,0.016393443,0.180327869,0,0,0.032786885,0,0,0.393442623,0.655975732,10,0,0,1,11,0,0,2,0,0,24,0.416666667,0,0,0.041666667,0.458333333,0,0,0.083333333,0,0
Lamar fish hatchery,7/4/2020,2020,edge,41.00405,-77.53464,1,14,1,10,40,4,0,29,21.48399925,0.480891916,16669.95471,0.491348884,0.467306085,0.280112714,0,0,0,2.440368667,0.537585333,1.304008,12.170115,0,253.93622,61,0.163934426,0,0,0.016393443,0.180327869,0,0,0.032786885,0,0,0.393442623,0.655975732,10,0,0,1,11,0,0,2,0,0,24,0.416666667,0,0,0.041666667,0.458333333,0,0,0.083333333,0,0
Lamar Travel center,7/3/2020,2020,valley,41.03312,-77.51592,0,9,1,6,12,28,0,44,21.72299957,0.320181885,35652.76895,0.353436118,0.422981236,0.127323955,83.3824602,147.350755,85.35729211,4.015899667,0,1.138643333,0,316.0905073,262.84256,20,0.45,0,0,0.1,0.65,0,0,0.05,0,0,1.25,0.601923972,9,0,0,2,13,0,0,1,0,0,25,0.36,0,0,0.08,0.52,0,0,0.04,0,0
Lamar Travel center,7/3/2020,2020,valley,41.03312,-77.51592,0,9,1,6,12,28,0,44,21.72299957,0.320181885,35652.76895,0.353436118,0.422981236,0.127323955,83.3824602,147.350755,85.35729211,6.920867,0,1.435751667,11.13895067,316.0905073,262.84256,20,0.45,0,0,0.1,0.65,0,0,0.05,0,0,1.25,0.601923972,9,0,0,2,13,0,0,1,0,0,25,0.36,0,0,0.08,0.52,0,0,0.04,0,0
Lamar Travel center,7/3/2020,2020,valley,41.03312,-77.51592,0,9,1,6,12,28,0,44,21.72299957,0.320181885,35652.76895,0.353436118,0.422981236,0.127323955,83.3824602,147.350755,85.35729211,7.323381667,1.039519167,2.790456917,0,316.0905073,262.84256,20,0.45,0,0,0.1,0.65,0,0,0.05,0,0,1.25,0.601923972,9,0,0,2,13,0,0,1,0,0,25,0.36,0,0,0.08,0.52,0,0,0.04,0,0
Laurelton,6/23/2020,2020,edge,40.89569,-77.19428,1,5,0,7,60,6,0,21,21.82699966,0.449054544,21719.86246,0.473701536,0.467670885,0.404519794,81.61371216,138.842351,112.4074687,5.947225667,0,0,12.62133033,332.8635318,215.70236,34,0.382352941,0,0,0.058823529,0.294117647,0.029411765,0,0,0,0,0.764705882,0.687092027,13,0,0,2,10,1,0,0,0,0,26,0.5,0,0,0.076923077,0.384615385,0.038461538,0,0,0,0
Laurelton,6/23/2020,2020,edge,40.89569,-77.19428,1,5,0,7,60,6,0,21,21.82699966,0.449054544,21719.86246,0.473701536,0.467670885,0.404519794,81.61371216,138.842351,112.4074687,5.030310667,1.251384,0,14.76770967,332.8635318,215.70236,34,0.382352941,0,0,0.058823529,0.294117647,0.029411765,0,0,0,0,0.764705882,0.687092027,13,0,0,2,10,1,0,0,0,0,26,0.5,0,0,0.076923077,0.384615385,0.038461538,0,0,0,0
Laurelton,6/23/2020,2020,edge,40.89569,-77.19428,1,5,0,7,60,6,0,21,21.82699966,0.449054544,21719.86246,0.473701536,0.467670885,0.404519794,81.61371216,138.842351,112.4074687,6.325965,1.387434667,0,13.80807633,332.8635318,215.70236,34,0.382352941,0,0,0.058823529,0.294117647,0.029411765,0,0,0,0,0.764705882,0.687092027,13,0,0,2,10,1,0,0,0,0,26,0.5,0,0,0.076923077,0.384615385,0.038461538,0,0,0,0
Lewisburg Skate Park,7/7/2020,2020,valley,40.96386,-76.89995,0,24,0,1,0,73,0,0,21.68000031,0.251475541,21472.69004,0.381985709,0.466217759,0,78.32098295,121.8228535,50.65500364,10.008824,5.958437,1.669448933,8.988463333,250.7988401,138.97792,38,0,0,0,0,0.657894737,0,0,0,0,0,0.657894737,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0
Lewisburg Skate Park,7/7/2020,2020,valley,40.96386,-76.89995,0,24,0,1,0,73,0,0,21.68000031,0.251475541,21472.69004,0.381985709,0.466217759,0,78.32098295,121.8228535,50.65500364,9.001741,1.9286875,1.34265,1.074909333,250.7988401,138.97792,38,0,0,0,0,0.657894737,0,0,0,0,0,0.657894737,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0
Lewisburg Skate Park,7/7/2020,2020,valley,40.96386,-76.89995,0,24,0,1,0,73,0,0,21.68000031,0.251475541,21472.69004,0.381985709,0.466217759,0,78.32098295,121.8228535,50.65500364,9.700377,4.213521167,0.42474725,0,250.7988401,138.97792,38,0,0,0,0,0.657894737,0,0,0,0,0,0.657894737,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0
Little Mountain Timber Harvest,7/7/2020,2020,forest,41.0539,-77.12094,0,5,0,0,93,0,0,0,20.03499985,0.673325036,377.0873145,0.65013423,0.510244257,0,0,0,0,NA,NA,NA,NA,0,515.55035,24,0.791666667,0,0,0,0.041666667,0,0.125,0,0,0,0.958333333,0.562335145,19,0,0,0,1,0,3,0,0,0,23,0.826086957,0,0,0,0.043478261,0,0.130434783,0,0,0
Lockhaven Cemetry,7/1/2020,2020,edge,41.1446,-77.46609,13,18,0,1,42,25,0,1,21.96299934,0.479256879,4589.833183,0.522101654,0.478151695,0,0,0,0,8.150080333,0,11.41596798,16.38662933,0,231.02882,67,0.164179104,0,0,0,0.179104478,0.029850746,0,0,0,0,0.373134328,0.410116318,11,0,0,0,12,2,0,0,0,0,25,0.44,0,0,0,0.48,0.08,0,0,0,0
Lockhaven Cemetry,7/1/2020,2020,edge,41.1446,-77.46609,13,18,0,1,42,25,0,1,21.96299934,0.479256879,4589.833183,0.522101654,0.478151695,0,0,0,0,6.414599667,0,4.630497027,16.524618,0,231.02882,67,0.164179104,0,0,0,0.179104478,0.029850746,0,0,0,0,0.373134328,0.410116318,11,0,0,0,12,2,0,0,0,0,25,0.44,0,0,0,0.48,0.08,0,0,0,0
Lockhaven Cemetry,7/1/2020,2020,edge,41.1446,-77.46609,13,18,0,1,42,25,0,1,21.96299934,0.479256879,4589.833183,0.522101654,0.478151695,0,0,0,0,5.311343333,1.967988,2.135264,11.26623333,0,231.02882,67,0.164179104,0,0,0,0.179104478,0.029850746,0,0,0,0,0.373134328,0.410116318,11,0,0,0,12,2,0,0,0,0,25,0.44,0,0,0,0.48,0.08,0,0,0,0
Milheim: Downtown + Cemetary,7/8/2020,2020,valley,40.88785,-77.48655,0,9,0,16,14,6,0,54,21.30800056,0.399809271,22218.02921,0.432614912,0.463349621,0.038197186,0,0,0,4.727993,2.100274333,1.155998333,0,0,355.2049,105,0.00952381,0.00952381,0,0,0.114285714,0.00952381,0.00952381,0,0.038095238,0,0.19047619,1.083172809,1,1,0,0,12,1,1,0,4,0,20,0.05,0.05,0,0,0.6,0.05,0.05,0,0.2,0
Milheim: Downtown + Cemetary,7/8/2020,2020,valley,40.88785,-77.48655,0,9,0,16,14,6,0,54,21.30800056,0.399809271,22218.02921,0.432614912,0.463349621,0.038197186,0,0,0,4.575153,7.789151,0,0,0,355.2049,105,0.00952381,0.00952381,0,0,0.114285714,0.00952381,0.00952381,0,0.038095238,0,0.19047619,1.083172809,1,1,0,0,12,1,1,0,4,0,20,0.05,0.05,0,0,0.6,0.05,0.05,0,0.2,0
Milheim: Downtown + Cemetary,7/8/2020,2020,valley,40.88785,-77.48655,0,9,0,16,14,6,0,54,21.30800056,0.399809271,22218.02921,0.432614912,0.463349621,0.038197186,0,0,0,7.747111,9.266445,2.115666667,0,0,355.2049,105,0.00952381,0.00952381,0,0,0.114285714,0.00952381,0.00952381,0,0.038095238,0,0.19047619,1.083172809,1,1,0,0,12,1,1,0,4,0,20,0.05,0.05,0,0,0.6,0.05,0.05,0,0.2,0
Milton Cemetary,7/3/2020,2020,edge,41.02668,-76.84733,0,43,0,2,11,44,0,0,21.58799934,0.29007367,19399.26801,0.392254788,0.456191802,23.21638407,74.83918773,128.3244832,66.24607512,8.409579,3.395833,2.022407833,0,269.4097461,164.17772,64,0.203125,0,0,0,0.1875,0,0,0,0,0,0.390625,0,13,0,0,0,12,0,0,0,0,0,25,0.52,0,0,0,0.48,0,0,0,0,0
Milton Cemetary,7/3/2020,2020,edge,41.02668,-76.84733,0,43,0,2,11,44,0,0,21.58799934,0.29007367,19399.26801,0.392254788,0.456191802,23.21638407,74.83918773,128.3244832,66.24607512,9.069267333,1.628066333,0,0,269.4097461,164.17772,64,0.203125,0,0,0,0.1875,0,0,0,0,0,0.390625,0,13,0,0,0,12,0,0,0,0,0,25,0.52,0,0,0,0.48,0,0,0,0,0
Milton Cemetary,7/3/2020,2020,edge,41.02668,-76.84733,0,43,0,2,11,44,0,0,21.58799934,0.29007367,19399.26801,0.392254788,0.456191802,23.21638407,74.83918773,128.3244832,66.24607512,8.719665667,1.965315667,1.4000235,7.508191333,269.4097461,164.17772,64,0.203125,0,0,0,0.1875,0,0,0,0,0,0.390625,0,13,0,0,0,12,0,0,0,0,0,25,0.52,0,0,0,0.48,0,0,0,0,0
New enterprise,6/24/2020,2020,valley,40.17182,-78.40829,0,12,0,8,1,24,0,54,18.56399918,0.228764491,54468.39784,0.280714866,0.410575592,0,0,0,0,7.528916333,0,1.509885,0,0,390.60236,64,0.09375,0,0,0,0.265625,0,0,0,0,0.015625,0.375,0.214559155,6,0,0,0,17,0,0,0,0,1,24,0.25,0,0,0,0.708333333,0,0,0,0,0.041666667
New enterprise,6/25/2020,2021,valley,40.17182,-78.40829,0,12,0,8,1,24,0,54,18.56399918,0.228764491,54468.39784,0.280714866,0.410575592,0,0,0,0,7.56496,2.232014333,2.004168667,0,0,390.60236,64,0.09375,0,0,0,0.265625,0,0,0,0,0.015625,0.375,0.214559155,6,0,0,0,17,0,0,0,0,1,24,0.25,0,0,0,0.708333333,0,0,0,0,0.041666667
New enterprise,6/26/2020,2022,valley,40.17182,-78.40829,0,12,0,8,1,24,0,54,18.56399918,0.228764491,54468.39784,0.280714866,0.410575592,0,0,0,0,7.640937333,2.463462667,0,9.765233,0,390.60236,64,0.09375,0,0,0,0.265625,0,0,0,0,0.015625,0.375,0.214559155,6,0,0,0,17,0,0,0,0,1,24,0.25,0,0,0,0.708333333,0,0,0,0,0.041666667
Pine Grove mills,7/2/2020,2020,edge,40.733043,-77.885327,0,29,0,5,36,24,0,4,20,0.460457264,20006.51892,0.492755818,0.47082498,0.213241542,0,0,0,NA,NA,NA,NA,0,400.80142,120,0.025,0,0,0,0.025,0.025,0.041666667,0,0,0.05,0.166666667,1.339718043,3,0,0,0,3,3,5,0,0,6,20,0.15,0,0,0,0.15,0.15,0.25,0,0,0.3
Po Valley Area,7/8/2020,2020,forest,40.81523,-77.51576,0,5,0,0,95,0,0,0,20.24900055,0.63984814,1260.596452,0.608380331,0.495981646,0,102.845341,145.8591895,102.6438017,NA,NA,NA,NA,351.3483322,642.82526,35,0.342857143,0,0.057142857,0,0.028571429,0.028571429,0.371428571,0,0,0,0.828571429,0.790234755,12,0,2,0,1,1,13,0,0,0,29,0.413793103,0,0.068965517,0,0.034482759,0.034482759,0.448275862,0,0,0
Ramblewood: fairview park,7/4/2020,2020,valley,40.725222,-77.934223,0,22,0,12,13,16,0,37,19.0189991,0.371768037,31469.39173,0.403584312,0.439952695,0.203718334,113.0393407,83.69409654,128.6758426,9.423976333,2.451716333,2.102716367,13.458822,325.4092798,365.17786,75,0.04,0,0,0,0.186666667,0.026666667,0.12,0,0,0,0.373333333,0.894551098,3,0,0,0,14,2,9,0,0,0,28,0.107142857,0,0,0,0.5,0.071428571,0.321428571,0,0,0
Ramblewood: fairview park,7/4/2020,2020,valley,40.725222,-77.934223,0,22,0,12,13,16,0,37,19.0189991,0.371768037,31469.39173,0.403584312,0.439952695,0.203718334,113.0393407,83.69409654,128.6758426,11.26207833,3.327575,1.581048,13.60639767,325.4092798,365.17786,75,0.04,0,0,0,0.186666667,0.026666667,0.12,0,0,0,0.373333333,0.894551098,3,0,0,0,14,2,9,0,0,0,28,0.107142857,0,0,0,0.5,0.071428571,0.321428571,0,0,0
Ramblewood: fairview park,7/4/2020,2020,valley,40.725222,-77.934223,0,22,0,12,13,16,0,37,19.0189991,0.371768037,31469.39173,0.403584312,0.439952695,0.203718334,113.0393407,83.69409654,128.6758426,8.623484,2.040859333,2.107395667,15.37586433,325.4092798,365.17786,75,0.04,0,0,0,0.186666667,0.026666667,0.12,0,0,0,0.373333333,0.894551098,3,0,0,0,14,2,9,0,0,0,28,0.107142857,0,0,0,0.5,0.071428571,0.321428571,0,0,0
Raymond B. Winter State Park,7/7/2020,2020,forest,40.98428,-77.15751,0,5,0,0,95,0,0,0,19.74900055,0.684890478,30.0218535,0.657086484,0.510774804,0,84.55810517,166.4877473,111.9344562,0,1.761943,0,13.78025233,362.9803087,387.6908,26,0.192307692,0,0,0,0.269230769,0.038461538,0.423076923,0.038461538,0,0,0.961538462,0.995821321,5,0,0,0,7,1,11,1,0,0,25,0.2,0,0,0,0.28,0.04,0.44,0.04,0,0
